Name,4 Stack,3 Stack,2 Stack,1 Stack,4 Points,3 Points,2 Points,1 Point,Gaurds,Monsters,Specialists,Total,RFQ
RicaChu,19,13,3,0,16872878,9260761,3013795,0,8,7,7,29147434,0.421119609
ruhav,39,10,4,0,32388883,7445971,4153963,0,8,8,6,43988817,0.263701886
Rutka,29,8,2,0,51670164,10817401,2704897,0,8,8,7,65192462,0.207421189
Santa Claus,21,13,7,0,53965394,35252338,22837813,0,9,8,7,112055545,0.518404966
ScarletApple,50,28,12,0,72919706,49036359,25907374,0,9,8,8,147863439,0.506844244
Schumacher Buske,25,6,2,0,39132956,9076012,2716379,0,8,8,7,50925347,0.23156231
SERDENGEÇTİ5816sız,42,12,4,0,30592479,8485949,2771907,0,8,7,7,41850335,0.269002769
SES,32,13,5,0,33649997,15942782,8020009,0,8,8,8,57612788,0.415928335
ShOcKwAvE,47,24,10,0,70480822,41069091,21451763,0,9,8,1,133001676,0.470075685
Silingwe,44,8,3,0,62298951,11132452,4405498,0,8,8,7,77836901,0.199621899
Sir Brad,37,16,8,0,59404791,21998617,9889946,0,8,8,8,91293354,0.349297748
Sir Massimo,33,8,4,1,73612043,13574520,9216764,3544531,8,8,7,99947858,0.263495542
Sir Waz,14,7,4,0,18841293,9013168,6566450,0,8,8,7,34420911,0.452620734
SMACKMAN,20,12,5,0,22203419,13127570,7595537,0,8,8,7,42926526,0.482757608
small Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudanese Hero,10,8,5,0,14831357,15768411,13941360,0,8,8,7,44541128,0.667018828
TC Halil Ağa 07,40,20,7,0,55363699,25961199,14967380,0,8,8,7,96292278,0.425045288
Themis,10,7,2,0,14335993,11651880,4379526,0,8,8,7,30367399,0.527915018
Throatpunch da Meek,31,13,5,0,64391510,26092979,13798802,0,8,8,8,104283291,0.382532816
TRUCK DRIVER,15,16,7,2,21360976,29050495,17472442,9686224,8,8,7,77570137,0.724623717
Trueray,0,0,0,0,0,0,0,0,0,0,0,0,0
Truthbourne,59,19,5,0,92267040,34910222,24279122,0,8,8,8,151456384,0.390801249
Tygranaya,50,13,4,0,98897497,30527419,12098730,0,8,9,8,141523646,0.301194537
Uhtred,20,8,3,0,15625888,6782211,2890209,0,8,8,7,25298308,0.38233466
United,24,9,4,0,32651978,12386784,6284597,0,8,8,8,51323359,0.363798889
Yvenessa,0,0,0,0,0,0,0,0,0,0,0,0,0
Дейенерис,36,11,2,0,170210794,58836677,13504837,0,9,9,9,242552308,0.298251188
Фоли,0,0,0,0,0,0,0,0,0,0,0,0,0
